district_name_norm,state_ut_norm,specialty_canonical,demand_score,pop_weighted_demand,driving_needs,n_facilities,n_public,supply_capacity,coverage,unmet_demand,k_specialty,served_share,is_thin_specialty,score_basis,priority_tier,specialty_absent,unmet_intensity
Jehanabad,Bihar,nutrition_dietetics,22.0,10.68,infant_young_child_feeding|micronutrient_fortification|child_malnutrition|maternal_nutrition,0,0,null,0.0,10.68,0.1842288935657571,0.08782,true,demand_driven_supply_sparse,critical,true,null
Alwar,Rajasthan,preventive_medicine,33.0,16.35,clean_cooking_air|tobacco_use|birth_registration|micronutrient_fortification|child_immunization|wash_sanitation|cancer_screening,1,0,3.0,0.3477675840978593,10.664,0.17587055926837847,0.32153,false,demand_supply,critical,false,16.35
Saran,Bihar,obstetrics_gynecology,32.0,12.243,family_planning_unmet|menstrual_hygiene|skilled_birth_attendance|anaemia|institutional_delivery|postnatal_care|maternal_nutrition|antenatal_care|adolescent_pregnancy,1,0,2.0,0.1293392142448746,10.659500000000001,0.6315124723713293,0.64448,false,demand_supply,critical,false,12.243
Katni,Madhya Pradesh,preventive_medicine,21.0,10.648,cancer_screening|tobacco_use|child_immunization|micronutrient_fortification|clean_cooking_air|birth_registration|wash_sanitation,0,0,null,0.0,10.648,0.17587055926837847,0.32153,false,demand_supply,critical,true,null
Serchhip,Mizoram,pediatrics,23.0,10.64,child_malnutrition|infant_young_child_feeding|anaemia|child_illness_care|child_immunization,0,0,null,0.0,10.64,0.24999843777013556,0.6034,false,demand_supply,critical,true,null
Jalna,Maharashtra,preventive_medicine,33.0,16.325,clean_cooking_air|birth_registration|child_immunization|micronutrient_fortification|cancer_screening|tobacco_use|wash_sanitation,1,0,3.0,0.3483001531393568,10.639,0.17587055926837847,0.32153,false,demand_supply,critical,false,16.325
Nawada,Bihar,nutrition_dietetics,22.0,10.631,child_malnutrition|micronutrient_fortification|maternal_nutrition|infant_young_child_feeding|adult_overnutrition_obesity,0,0,null,0.0,10.631,0.1842288935657571,0.08782,true,demand_driven_supply_sparse,critical,true,null
South Garo Hills,Meghalaya,obstetrics_gynecology,25.0,10.629999999999999,family_planning_unmet|anaemia|menstrual_hygiene|antenatal_care|skilled_birth_attendance|postnatal_care|institutional_delivery,0,0,null,0.0,10.629999999999999,0.6315124723713293,0.64448,false,demand_supply,critical,true,null
Shahjahanpur,Uttar Pradesh,nutrition_dietetics,23.0,10.628,child_malnutrition|micronutrient_fortification|infant_young_child_feeding|maternal_nutrition,0,0,null,0.0,10.628,0.1842288935657571,0.08782,true,demand_driven_supply_sparse,critical,true,null
Siwan,Bihar,nutrition_dietetics,24.0,10.620999999999999,infant_young_child_feeding|adult_overnutrition_obesity|micronutrient_fortification|child_malnutrition|maternal_nutrition,0,0,null,0.0,10.620999999999999,0.1842288935657571,0.08782,true,demand_driven_supply_sparse,critical,true,null
Dhenkanal,Odisha,preventive_medicine,21.0,10.620000000000001,tobacco_use|birth_registration|cancer_screening|child_immunization|micronutrient_fortification|wash_sanitation|clean_cooking_air,0,0,null,0.0,10.620000000000001,0.17587055926837847,0.32153,false,demand_supply,critical,true,null
East Garo Hills,Meghalaya,obstetrics_gynecology,26.0,10.618,institutional_delivery|menstrual_hygiene|postnatal_care|family_planning_unmet|anaemia|antenatal_care|skilled_birth_attendance,0,0,null,0.0,10.618,0.6315124723713293,0.64448,false,demand_supply,critical,true,null
Dibang Valley,Arunachal Pradesh,preventive_medicine,21.0,10.608,wash_sanitation|child_immunization|birth_registration|cancer_screening|tobacco_use|micronutrient_fortification|clean_cooking_air,0,0,null,0.0,10.608,0.17587055926837847,0.32153,false,demand_supply,critical,true,null
